KL,Mpm
260,2.04E+19
284,5.15E+20
106,4.09E+10
161,3.57E+13
73,5.00E+08
73,5.00E+08
62,6.50E+07
160,1.27E+20
237,1.10E+18
284,5.66E+20
196,3.38E+15
86,3.45E+09
313,2.35E+23
244,1.25E+18
90,1.72E+09
125,5.62E+11
109,8.00E+10
110,4.60E+10
191,2.18E+15
167,1.08E+14
115,7.00E+10
198,7.64E+15
69,2.48E+08
262,4.03E+19
244,2.60E+18
201,1.44E+16
311,1.15E+23
312,1.84E+23
206,2.85E+16
260,2.47E+19
78,1.12E+09
217,7.63E+16
54,9.92E+06
253,7.40E+18
173,4.62E+14
188,1.41E+15
184,6.48E+14
306,5.96E+22
232,6.00E+17
201,8.20E+15
164,1.02E+14
162,7.59E+13
245,1.80E+18
150,1.53E+13
106,5.66E+10
255,1.55E+19
279,2.46E+20
89,4.70E+09
278,3.20E+20
68,5.62E+07
220,7.19E+16
207,3.54E+16
104,3.70E+10
90,2.55E+09
286,8.50E+20
70,4.85E+08
311,1.37E+23
72,6.10E+08
77,7.37E+08
173,2.50E+14
198,8.10E+15
194,3.87E+15
108,7.26E+10
278,3.25E+20
58,2.60E+07
169,1.64E+14
82,#VALUE!
312,1.55E+23
300,1.55E+22
91,7.59E+09
224,2.15E+17
91,6.63E+09
210,2.70E+16
155,3.60E+13
285,#VALUE!
173,2.10E+14
326,3.20E+24
323,2.40E+24
232,1.90E+24
322,1.50E+24
320,1.20E+24
319,1.10E+24
318,7.47E+23
317,6.13E+23
216,8.90E+16
292,#VALUE!
150,2.00E+13
95,9.66E+09
73,1.22E+08
249,2.40E+18
41,3.37E+04
90,2.39E+09
89,4.18E+09
89,4.18E+09
160,5.06E+13
208,3.72E+16
212,8.16E+16
88,2.70E+09
142,3.13E+12
105,3.16E+10
105,3.16E+10
136,1.52E+12
120,3.96E+11
104,4.40E+10
197,6.61E+15
106,5.32E+10
203,1.50E+16
177,3.96E+14
316,4.09E+23
177,3.96E+14
168,1.12E+08
199,1.00E+00
199,7.28E+15
160,3.37E+13
77,8.05E+08
299,1.12E+22
210,3.90E+16
66,1.58E+08
201,1.27E+16
104,4.30E+10
327,4.50E+24
166,1.02E+17
166,1.02E+14
299,7.10E+21
45,2.39E+06
150,1.60E+13
308,6.40E+22
150,1.60E+13
150,1.13E+13
330,7.30E+24
102,2.44E+13
109,4.80E+10
231,4.28E+17
52,1.11E+07
66,3.13E+08
318,6.09E+23
300,1.04E+22
173,1.94E+14
175,2.99E+14
175,3.33E+14
177,4.11E+14
59,3.50E+07
65,1.34E+08
66,2.01E+08
171,1.79E+14
291,1.90E+21
251,3.95E+18
291,1.90E+21
170,1.31E+14
251,6.10E+21
270,1.11E+20
132,2.28E+12
180,9.26E+14
265,6.70E+19
265,8.80E+01
265,8.82E+19
103,2.44E+04
269,9.26E+19
255,7.33E+18
177,3.15E+14
214,1.70E+16
214,1.70E+16
118,1.59E+11
78,5.97E+08
281,4.52E+02
105,2.09E+10
212,4.10E+19
100,1.59E+09
100,1.59E+10
82,1.65E+09
122,5.18E+11
122,5.18E+11
170,2.00E+14
209,4.06E+16
299,1.03E+22
175,2.60E+14
176,4.51E+14
105,6.91E+10
120,1.44E+11
304,2.74E+22
72,3.95E+08
30,3.17E+05
166,1.47E+14
234,1.90E+24
177,3.20E+14
339,5.10E+25
341,8.38E+25
337,3.47E+25
335,2.34E+25
332,1.08E+25
331,8.80E+24
193,4.00E+18
60,4.12E+07
261,3.30E+19
85,1.67E+09
201,1.07E+16
145,4.89E+12
42,2.85E+06
124,4.12E+11
235,7.73E+17
345,1.65E+26
343,1.32E+26
342,9.79E+25
212,7.04E+16
217,1.00E+17
327,3.30E+24
220,2.04E+17
113,1.30E+11
160,4.68E+13
160,4.68E+13
178,4.16E+14
347,2.61E+02
347,2.62E+26
346,1.89E+26
331,6.50E+24
275,#VALUE!
221,2.37E+17
256,1.92E+19
253,1.33E+19
256,1.90E+19
34,1.31E+05
110,1.09E+11
272,1.78E+02
149,#VALUE!
175,3.10E+14
175,3.10E+14
113,1.29E+11
189,1.50E+15
189,1.50E+15
189,1.50E+15
189,1.50E+15
189,1.50E+15
276,2.19E+20
349,3.58E+26
351,5.33E+26
180,4.64E+14
179,5.74E+14
55,8.38E+06
291,#VALUE!
324,1.90E+24
137,1.71E+12
291,#VALUE!
291,#VALUE!
291,1.70E+21
62,5.50E+07
240,2.58E+18
118,2.40E+11
180,6.75E+14
329,5.40E+24
291,#VALUE!
291,#VALUE!
293,3.10E+21
102,2.60E+10
353,8.37E+26
118,2.93E+11
260,1.56E+19
176,4.64E+14
176,4.64E+14
176,4.64E+14
61,1.24E+07
178,2.49E+14
300,1.25E+22
260,2.37E+19
36,1.41E+06
9400,8.41E+09
332,7.60E+24
320,1.00E+24
270,9.16E+19
346,1.45E+29
293,3.00E+21
123,2.73E+11
252,4.60E+18
332,8.40E+24
333,1.09E+25
65,2.85E+07
161,#VALUE!
161,6.30E+13
157,2.71E+13
184,1.12E+15
294,2.90E+21
335,1.39E+25
180,6.53E+14
337,2.25E+25
333,1.04E+25
183,5.84E+14
198,#VALUE!
317,5.17E+23
160,4.11E+13
162,5.40E+13
190,2.28E+15
23,1.41E+05
183,6.96E+14
257,#VALUE!
252,7.10E+18
251,7.90E+18
85,3.00E+09
322,#VALUE!
279,3.15E+20
41,1.70E+06
322,#VALUE!
281,3.21E+20
320,1.00E+24
239,8.55E+17
239,8.55E+17
239,8.55E+17
186,1.13E+15
313,1.30E+23
300,1.40E+22
167,1.02E+14
212,6.47E+16
214,6.09E+16
292,3.20E+21
141,3.21E+12
186,1.56E+15
146,9.09E+11
169,1.22E+14
78,7.16E+08
297,5.00E+21
256,1.00E+19
341,4.84E+25
343,8.29E+25
312,1.58E+23
345,1.16E+26
186,1.24E+15
189,1.81E+15
190,2.11E+15
171,2.12E+14
177,3.59E+14
92,8.31E+09
348,2.40E+26
348,2.26E+26
316,4.27E+23
340,3.96E+25
275,2.03E+20
275,2.04E+20
275,2.03E+20
275,2.03E+20
278,2.78E+20
292,3.50E+21
324,1.70E+24
325,2.50E+24
284,7.98E+02
284,7.99E+20
326,3.20E+24
211,1.00E+00
354,8.15E+26
377,7.50E+28
216,9.60E+16
194,#VALUE!
63,1.05E+08
367,1.50E+31
266,6.26E+19
271,1.29E+20
106,1.70E+13
307,6.51E+22
112,1.35E+11
100,2.75E+10
341,4.01E+25
239,#VALUE!
356,1.10E+27
276,1.88E+20
194,2.90E+15
288,1.50E+21
193,2.80E+15
334,1.51E+25
109,4.00E+10
331,5.10E+24
332,8.90E+24
196,3.13E+15
336,2.17E+25
112,8.50E+03
112,6.91E+10
238,1.66E+18
361,2.70E+27
198,4.95E+15
316,3.00E+27
295,7.10E+21
273,2.68E+20
351,4.10E+26
366,9.20E+27
117,2.44E+11
200,7.71E+15
343,7.03E+25
364,7.00E+27
90,2.60E+09
276,1.53E+22
383,3.84E+29
84,1.83E+09
201,1.02E+16
169,1.17E+14
145,6.08E+12
94,2.05E+09
94,2.05E+09
159,3.51E+13
159,3.51E+13
159,3.51E+13
159,3.51E+13
87,5.38E+09
83,3.00E+09
99,1.85E+10
79,7.78E+08
370,2.04E+28
90,1.09E+09
1337,2.00E+00
202,8.90E+15
314,2.19E+02
136,4.50E+12
246,5.00E+18
208,1.80E+16
375,5.61E+28
210,3.37E+16
354,8.67E+26
362,#VALUE!
227,5.80E+17
301,2.28E+22
303,1.73E+22
155,9.70E+12
212,4.40E+16
357,1.50E+27
388,6.88E+29
177,5.65E+14
177,5.65E+17
210,3.90E+16
210,3.90E+16
210,3.69E+16
66,2.00E+07
92,1.73E+09
219,1.28E+17
298,9.20E+21
311,3.20E+19
186,1.90E+15
314,3.00E+23
218,1.04E+17
218,1.28E+17
198,9.70E+15
84,1.85E+09
207,4.42E+16
360,#VALUE!
360,#VALUE!
360,2.80E+27
279,3.10E+20
392,1.20E+30
91,3.25E+09
254,1.09E+19
375,4.81E+28
278,#VALUE!
278,4.45E+20
344,9.25E+25
107,2.65E+10
392,1.22E+31
382,1.97E+29
279,5.19E+20
177,1.73E+14
280,6.26E+20
212,8.00E+16
224,2.70E+17
198,1.70E+16
229,4.35E+17
72,2.24E+08
306,4.75E+22
309,7.97E+22
243,4.20E+18
243,5.00E+18
246,6.70E+18
247,7.80E+18
249,1.04E+19
251,1.37E+19
252,1.40E+19
253,1.52E+19
254,1.73E+19
255,1.98E+19
257,2.50E+19
260,4.09E+19
261,4.88E+19
261,4.88E+19
263,5.98E+19
264,6.81E+19
265,7.79E+19
265,8.32E+19
267,1.03E+20
269,1.41E+20
272,1.88E+20
272,1.95E+20
274,2.19E+20
274,2.47E+20
276,3.17E+20
278,3.69E+20
279,4.08E+20
280,4.52E+20
281,5.21E+20
282,6.13E+20
283,6.78E+20
284,7.94E+20
284,8.98E+20
285,1.00E+21
285,1.00E+21
287,1.30E+21
288,1.60E+21
289,2.00E+21
290,2.20E+21
291,2.60E+21
292,3.60E+21
293,4.70E+21
294,6.00E+21
296,7.90E+21
297,9.10E+21
298,1.08E+22
299,1.45E+22
300,1.87E+22
302,2.47E+22
303,3.27E+22
305,4.53E+22
305,5.21E+22
306,6.25E+22
307,8.31E+22
310,1.59E+23
311,1.96E+23
312,2.42E+23
313,2.89E+23
316,4.73E+23
239,2.40E+18
240,2.60E+18
240,2.70E+18
241,2.90E+18
243,3.90E+18
245,4.60E+18
246,4.80E+18
246,5.10E+18
